team,year,squad_size,squad_avg,squad_std,attack_avg,midfield_avg,defence_avg,bench_avg,bench_std,gk_rating
Liechtenstein,2015,8,56.5,1.66904592079256,,56.25,56.75,54.26609358765752,0.30754509822322046,63.0
Lithuania,2015,16,62.125,1.4630874888399532,59.25,60.75,64.25,59.89109358765752,0.7964680945990669,75.0
Luxembourg,2015,5,60.2,2.2671568097509267,,57.5,62.0,57.966093587657525,0.30754509822322046,62.0
Madagascar,2015,3,63.666666666666664,2.3161265887513367,65.5,,60.0,61.43276025432418,0.30754509822322046,60.0
Mali,2015,25,70.56,0.5918333098657652,72.5,70.57142857142857,69.42857142857143,68.57142857142857,0.37378794179549335,70.0
Malta,2015,4,57.5,2.3161265887513367,,57.5,,55.26609358765752,0.30754509822322046,
Mauritania,2015,3,63.0,1.7320508075688774,66.0,60.0,63.0,60.76609358765752,0.30754509822322046,63.0
Mexico,2015,25,75.08,0.6216108107168024,77.0,74.66666666666667,74.16666666666667,72.85714285714286,0.20587905489225491,80.0
Moldova,2015,7,64.57142857142857,1.0658585374094949,62.5,65.5,65.33333333333333,62.33752215908609,0.30754509822322046,62.0
Montenegro,2015,19,65.42105263157895,1.5546869139575663,65.57142857142857,60.666666666666664,66.88888888888889,63.18714621923647,0.6267831705280087,66.88888888888889
Montserrat,2015,1,60.0,,,60.0,,57.76609358765752,0.30754509822322046,
Morocco,2015,25,74.28,0.6545227268781425,73.2,74.1875,76.0,72.28571428571429,0.35438495596916697,76.0
Mozambique,2015,5,70.8,1.4282856857085702,68.5,73.0,72.0,68.56609358765752,0.30754509822322046,72.0
Netherlands,2015,25,79.4,0.7302967433402215,82.0,79.58333333333333,78.0,77.14285714285714,0.25370101935418016,79.0
New Caledonia,2015,3,64.33333333333333,2.3161265887513367,61.0,,71.0,62.09942692099085,0.30754509822322046,71.0
New Zealand,2015,25,62.88,0.9474879066950319,65.5,61.625,62.36363636363637,59.714285714285715,0.5286159767387117,62.0
Niger,2015,2,62.0,2.3161265887513367,62.0,,,59.76609358765752,0.30754509822322046,
Nigeria,2015,25,73.52,0.632771680782255,74.16666666666667,72.66666666666667,73.5,71.21428571428571,0.29979061243304916,80.0
North Macedonia,2015,25,63.52,0.9884668262853673,64.33333333333333,62.857142857142854,63.5,60.285714285714285,0.4620614514643656,66.0
Northern Ireland,2015,25,68.64,0.7997499609252883,68.0,68.33333333333333,69.3,65.71428571428571,0.2857142857142857,69.0
Norway,2015,25,72.04,0.3673327283721577,71.28571428571429,72.41666666666667,72.16666666666667,70.71428571428571,0.19410463442478787,72.0
Oman,2015,1,74.0,,,,74.0,71.76609358765752,0.30754509822322046,74.0
Palestine,2015,3,62.666666666666664,1.3333333333333333,62.0,,64.0,60.43276025432418,0.30754509822322046,64.0
Panama,2015,12,65.16666666666667,1.613547443843953,67.0,65.0,64.75,62.932760254324194,0.30754509822322046,71.0
Paraguay,2015,25,74.48,0.44766058571198775,76.44444444444444,74.0,72.88888888888889,72.92857142857143,0.22149059748072936,75.0
Peru,2015,25,69.68,1.0078359654890934,70.625,70.0,68.375,66.21428571428571,0.3344434679897407,69.0
Philippines,2015,4,62.75,2.3161265887513367,,62.666666666666664,63.0,60.51609358765752,0.30754509822322046,63.0
Poland,2015,25,75.04,0.876508223958376,75.2,74.4,75.6,72.07142857142857,0.4624859453081091,80.0
Portugal,2015,25,79.72,0.628543289413439,80.83333333333333,79.3,79.44444444444444,77.92857142857143,0.24504508924151383,81.0
Republic of Ireland,2015,25,73.96,0.5369047091120235,75.0,74.27272727272727,73.36363636363636,72.07142857142857,0.32249517782042164,74.0
Romania,2015,25,71.6,0.5859465277082316,70.25,71.44444444444444,72.16666666666667,69.42857142857143,0.40211372447323046,74.0
Russia,2015,25,76.88,0.4409081537009718,76.33333333333333,77.22222222222223,76.9,75.28571428571429,0.22060285604268937,83.0
Saint Kitts and Nevis,2015,2,61.5,0.5,62.0,61.0,,59.26609358765752,0.30754509822322046,
Saint Lucia,2015,1,60.0,,,,60.0,57.76609358765752,0.30754509822322046,60.0
Saudi Arabia,2015,25,70.6,0.40414518843273817,72.6,70.6923076923077,69.0,69.14285714285714,0.23103072573218286,70.0
Scotland,2015,25,73.12,0.33326665999866634,74.2,73.0,72.5,71.92857142857143,0.26652599638758023,75.0
Senegal,2015,25,74.96,0.4338970692072793,75.72727272727273,74.2,74.44444444444444,73.35714285714286,0.19909528496696088,74.44444444444444
Serbia,2015,25,76.64,0.5827520913733389,75.0,76.5,77.16666666666667,74.57142857142857,0.2276078590901976,75.0
Sierra Leone,2015,8,61.75,1.2782521548695198,61.0,62.0,62.0,59.51609358765752,0.30754509822322046,62.0
Slovakia,2015,25,69.76,0.9613878856458855,67.85714285714286,71.33333333333333,70.08333333333333,66.42857142857143,0.4654465622977444,72.0
Slovenia,2015,25,71.04,0.8356235196945254,71.42857142857143,70.5,71.2,68.28571428571429,0.5389098828676583,83.0
South Africa,2015,25,71.96,0.47427137098219746,70.6,72.53846153846153,71.85714285714286,70.5,0.29183014779976924,77.0
Spain,2015,25,83.84,0.398664437006028,83.66666666666667,83.86666666666666,83.85714285714286,82.5,0.2723523897009611,84.0
Sudan,2015,2,60.5,2.3161265887513367,55.0,66.0,,58.26609358765752,0.30754509822322046,
Suriname,2015,2,60.5,2.3161265887513367,,55.0,66.0,58.26609358765752,0.30754509822322046,66.0
Sweden,2015,25,75.0,0.7681145747868607,76.85714285714286,74.5,74.1,72.78571428571429,0.260569356074272,74.0
Switzerland,2015,25,76.08,0.5096403960964371,75.0,76.41666666666667,76.11111111111111,74.21428571428571,0.3658284505871935,80.0
Syria,2015,3,67.0,1.1547005383792517,67.0,67.0,,64.76609358765752,0.30754509822322046,
Thailand,2015,1,65.0,,65.0,,,62.76609358765752,0.30754509822322046,
Togo,2015,9,71.44444444444444,2.3161265887513367,70.0,71.5,77.0,69.21053803210197,0.30754509822322046,77.0
Trinidad and Tobago,2015,12,63.25,1.547847968417226,67.5,61.6,63.2,61.01609358765752,0.30754509822322046,63.2
Tunisia,2015,23,66.91304347826087,1.4499734813961325,69.75,65.1,67.66666666666667,61.583333333333336,0.7964680945990669,67.66666666666667
Turkey,2015,25,77.84,0.41505019776729013,77.5,78.27272727272727,77.5,76.5,0.25136987326808513,81.0
Turkmenistan,2015,1,67.0,,,,67.0,64.76609358765752,0.30754509822322046,67.0
Uganda,2015,5,60.4,1.5999999999999999,55.0,59.0,62.666666666666664,58.166093587657514,0.30754509822322046,62.666666666666664
Ukraine,2015,25,69.68,1.0703893372662738,73.0,67.83333333333333,69.75,65.78571428571429,0.7964680945990669,76.0
United States,2015,25,74.68,0.6237520875048567,74.16666666666667,74.55555555555556,75.1,72.5,0.2723523897009611,82.0
Uruguay,2015,25,76.32,0.9031795687089768,77.33333333333333,74.57142857142857,76.66666666666667,73.21428571428571,0.15472667956405192,82.0
Uzbekistan,2015,6,67.0,2.160246899469287,62.0,68.33333333333333,67.5,64.76609358765752,0.30754509822322046,67.5
Venezuela,2015,25,72.44,0.7726146085425343,72.55555555555556,71.125,73.625,69.71428571428571,0.4738035414793428,72.0
Wales,2015,25,71.72,1.0124557603503803,67.5,73.1,72.0,68.57142857142857,0.38820926884957563,72.0
Zambia,2015,4,68.25,1.796988221070652,71.0,66.0,70.0,66.01609358765752,0.30754509822322046,70.0
Zimbabwe,2015,12,61.416666666666664,1.8968008686611086,61.2,61.57142857142857,,59.18276025432418,0.30754509822322046,
Albania,2016,25,68.08,0.7808542330892069,66.8,68.0,69.0,65.14285714285714,0.5330519927751606,73.0
Algeria,2016,25,73.44,0.8348253310323864,79.25,73.0,71.6,70.42857142857143,0.6606214666017202,68.0
Angola,2016,13,64.92307692307692,1.6850075647001255,68.66666666666667,61.5,61.8,62.68917051073444,0.7964680945990669,61.8
Antigua and Barbuda,2016,7,58.285714285714285,2.2008038111031127,62.0,56.333333333333336,57.5,56.0518078733718,0.30754509822322046,57.5
Argentina,2016,25,82.4,0.6480740698407857,83.75,82.0,81.55555555555556,80.35714285714286,0.22500654098289308,79.0
Armenia,2016,10,67.5,2.3161265887513367,75.0,66.33333333333333,63.5,65.26609358765752,0.30754509822322046,63.5
Aruba,2016,1,65.0,,,65.0,,62.76609358765752,0.30754509822322046,
Australia,2016,25,71.48,0.4730045806684469,71.5,71.42857142857143,71.5,69.78571428571429,0.2142857142857143,78.0
Austria,2016,25,74.88,0.6959885056522126,73.5,74.2,76.0,72.42857142857143,0.30945335912810373,72.0
Azerbaijan,2016,5,63.8,2.3161265887513367,,66.0,60.5,61.56609358765752,0.30754509822322046,55.0
Bahrain,2016,1,72.0,,,,72.0,69.76609358765752,0.30754509822322046,72.0
Barbados,2016,2,65.5,0.5,,66.0,65.0,63.26609358765752,0.30754509822322046,65.0
Belarus,2016,14,67.78571428571429,0.8718968296952644,68.0,67.875,67.6,65.55180787337181,0.33333333333333337,70.0
Belgium,2016,25,80.44,0.6635259351876661,79.25,80.28571428571429,81.42857142857143,78.14285714285714,0.32912042048070195,86.0
Benin,2016,14,67.0,1.3946522667155943,65.75,68.75,66.66666666666667,64.76609358765752,0.33333333333333337,66.0
Bermuda,2016,4,59.25,2.3161265887513367,60.0,60.0,57.0,57.01609358765752,0.30754509822322046,57.0
Bolivia,2016,25,64.6,0.8306623862918074,66.6,64.55555555555556,63.72727272727273,61.92857142857143,0.7664982865172687,64.0
Bosnia and Herzegovina,2016,25,72.88,1.0088277025009444,70.4,74.375,72.91666666666667,69.21428571428571,0.5465030833345695,82.0
Brazil,2016,25,83.04,0.36733272837215764,84.0,82.375,83.15384615384616,81.85714285714286,0.1428571428571429,83.0
Bulgaria,2016,25,69.84,0.7386474125047755,70.4,70.7,68.7,67.5,0.25136987326808513,72.0
Burkina Faso,2016,18,67.61111111111111,1.4866264148443613,70.0,66.45454545454545,69.0,65.37720469876864,0.7964680945990669,69.0
Burundi,2016,1,71.0,,71.0,,,68.76609358765752,0.30754509822322046,
Cameroon,2016,25,75.72,0.6096993794759293,75.5,74.25,76.9090909090909,73.42857142857143,0.40211372447323046,78.0
Canada,2016,25,66.2,0.6904105059069324,66.5,67.3,65.0909090909091,63.92857142857143,0.38465462908103587,63.0
Cape Verde Islands,2016,20,67.95,1.1708633791487284,68.75,68.33333333333333,66.5,65.71609358765753,0.7964680945990669,61.0
Central African Republic,2016,6,64.33333333333333,1.9776529298921772,64.33333333333333,66.5,60.0,62.09942692099085,0.30754509822322046,60.0
Chad,2016,1,63.0,,63.0,,,60.76609358765752,0.30754509822322046,
Chile,2016,25,77.24,0.7030410135025318,77.33333333333333,77.42857142857143,76.6,75.0,0.3144854510165755,83.0
China PR,2016,23,68.3913043478261,0.7537498626689422,69.28571428571429,67.71428571428571,68.22222222222223,65.58333333333333,0.5833333333333334,75.0
Colombia,2016,25,78.32,0.6210743380090125,79.55555555555556,78.625,76.625,76.35714285714286,0.30754509822322046,78.0
Comoros,2016,4,66.5,0.6454972243679028,,65.5,67.5,64.26609358765752,0.30754509822322046,67.5
Congo,2016,17,66.23529411764706,1.672725434918366,67.25,65.42857142857143,66.5,64.00138770530458,0.7964680945990669,65.0
Congo DR,2016,25,71.48,0.6058602699192831,71.71428571428571,71.33333333333333,71.44444444444444,69.35714285714286,0.2694549414338292,68.0
Costa Rica,2016,25,69.64,1.1617228585166084,65.42857142857143,71.66666666666667,71.08333333333333,65.21428571428571,0.7964680945990669,79.0
Croatia,2016,25,76.76,0.7794870107962031,75.5,78.125,76.66666666666667,74.07142857142857,0.2665259963875803,81.0
Cuba,2016,1,77.0,,,77.0,,74.76609358765752,0.30754509822322046,
Curacao,2016,11,65.54545454545455,1.6644061805593902,65.6,55.0,67.6,63.31154813311207,0.30754509822322046,73.0
Cyprus,2016,3,69.0,2.3161265887513367,,71.0,68.0,66.76609358765752,0.30754509822322046,68.0
Czech Republic,2016,25,74.56,0.6002221810851937,72.83333333333333,75.16666666666667,75.07692307692308,72.85714285714286,0.390225953946477,85.0
Côte d'Ivoire,2016,25,76.84,0.5821798118565545,77.7,77.16666666666667,75.66666666666667,74.78571428571429,0.23855267413288364,75.66666666666667
Denmark,2016,25,76.0,0.5033222956847166,75.6,75.77777777777777,76.36363636363636,74.42857142857143,0.2911569516371817,76.0
Dominican Republic,2016,1,64.0,,,,64.0,61.76609358765752,0.30754509822322046,64.0
Ecuador,2016,25,72.0,0.6324555320336759,72.88888888888889,72.66666666666667,70.0,69.85714285714286,0.31197955091381074,72.0
Egypt,2016,25,68.96,0.9530302548537832,74.75,68.5,67.27272727272727,65.42857142857143,0.5903461986181666,72.0
El Salvador,2016,1,70.0,,,70.0,,67.76609358765752,0.30754509822322046,
England,2016,25,81.12,0.41360206317989573,82.66666666666667,80.45454545454545,81.36363636363636,79.64285714285714,0.1692628769313117,84.0
Equatorial Guinea,2016,6,64.33333333333333,1.520233900132184,66.0,62.0,65.33333333333333,62.09942692099085,0.30754509822322046,63.0
Estonia,2016,8,65.125,2.3161265887513367,67.0,65.0,64.8,62.89109358765752,0.30754509822322046,64.0
Ethiopia,2016,2,69.0,0.0,,69.0,69.0,66.76609358765752,0.30754509822322046,69.0
Faroe Islands,2016,2,56.5,1.4999999999999998,,58.0,55.0,54.26609358765752,0.30754509822322046,55.0
Fiji,2016,1,66.0,,66.0,,,63.76609358765752,0.30754509822322046,
Finland,2016,25,69.64,0.8101028741256672,67.0,71.55555555555556,69.5,67.0,0.4569367667316877,72.0
France,2016,25,82.8,0.3464101615137754,83.0,83.11111111111111,82.45454545454545,81.64285714285714,0.19909528496696088,85.0
Gabon,2016,15,69.73333333333333,1.4750840707813964,73.0,71.16666666666667,67.57142857142857,67.49942692099086,0.7964680945990669,67.0
Gambia,2016,12,65.16666666666667,0.9521374147493925,62.666666666666664,65.4,66.75,62.932760254324194,0.30754509822322046,66.75
Georgia,2016,21,65.80952380952381,1.3673384776534507,61.8,66.77777777777777,67.42857142857143,60.5,0.7964680945990669,72.0
Germany,2016,25,83.88,0.5109468335029257,82.66666666666667,84.08333333333333,84.0,81.92857142857143,0.22149059748072936,90.0
Ghana,2016,25,74.16,0.4888080741286228,73.6,74.1875,74.75,72.42857142857143,0.27163092514963244,74.75
Gibraltar,2016,2,63.0,2.3161265887513367,,60.0,66.0,60.76609358765752,0.30754509822322046,66.0
Greece,2016,25,76.08,0.5257375771237967,75.25,75.5,76.6923076923077,74.35714285714286,0.22500654098289308,78.0
Grenada,2016,2,59.5,1.4999999999999998,,58.0,61.0,57.26609358765752,0.30754509822322046,61.0
Guam,2016,1,69.0,,,,69.0,66.76609358765752,0.30754509822322046,69.0
Guatemala,2016,4,66.25,1.75,,70.0,65.0,64.01609358765752,0.30754509822322046,68.0
Guinea,2016,25,68.4,0.998331942124796,66.4,70.5,68.2,64.71428571428571,0.7295081244308902,68.2
Guinea Bissau,2016,9,66.44444444444444,2.2429588042429276,68.25,67.75,54.0,64.21053803210197,0.30754509822322046,54.0
Guyana,2016,2,65.0,2.0,,67.0,63.0,62.76609358765752,0.30754509822322046,63.0
Haiti,2016,10,64.6,2.3161265887513367,60.0,64.0,66.5,62.36609358765752,0.30754509822322046,75.0
Honduras,2016,13,67.92307692307692,1.1405213521171398,64.33333333333333,68.5,69.75,65.68917051073444,0.7964680945990669,69.75
Hungary,2016,25,70.16,0.6847870715290507,70.33333333333333,71.125,69.36363636363636,67.85714285714286,0.4303990335728822,73.0
Iceland,2016,25,69.24,0.7377443098165292,69.66666666666667,69.63636363636364,68.375,66.78571428571429,0.2997906124330492,68.375
India,2016,23,57.30434782608695,0.6956521739130436,58.833333333333336,55.857142857142854,57.4,55.0,0.36927447293799825,65.0
Indonesia,2016,1,56.0,,,,56.0,53.76609358765752,0.30754509822322046,56.0
Iran,2016,7,67.28571428571429,0.9184429296183766,67.0,68.0,67.33333333333333,65.05180787337181,0.30754509822322046,68.0
Iraq,2016,12,64.58333333333333,1.0109876159458926,62.666666666666664,64.16666666666667,67.33333333333333,62.34942692099085,0.30754509822322046,67.33333333333333
Israel,2016,18,68.72222222222223,1.4021588293471066,72.8,66.9,68.0,66.48831580987975,0.7964680945990669,64.0
Italy,2016,25,81.8,0.37859388972001823,80.71428571428571,82.0,82.44444444444444,80.42857142857143,0.13725270326150324,84.0
Jamaica,2016,25,68.48,0.44015148907317503,68.42857142857143,67.33333333333333,69.08333333333333,66.85714285714286,0.2938404825740865,67.0
Japan,2016,25,72.6,0.6683312551921138,73.57142857142857,71.92857142857143,73.25,70.42857142857143,0.42857142857142855,73.25
Jordan,2016,3,61.333333333333336,2.3161265887513367,65.0,57.0,62.0,59.09942692099085,0.30754509822322046,62.0
Kazakhstan,2016,4,67.0,1.0801234497346435,,66.0,68.0,64.76609358765752,0.30754509822322046,68.0
Kenya,2016,2,72.5,2.3161265887513367,,77.0,68.0,70.26609358765752,0.30754509822322046,68.0
Korea Republic,2016,25,72.52,0.45136829012828683,74.0,72.14285714285714,72.28571428571429,71.0,0.33149677206589795,75.0
Kosovo,2016,20,63.4,0.9386440388022222,63.125,63.75,63.25,61.166093587657514,0.7964680945990669,71.0
Kuwait,2016,2,69.0,2.3161265887513367,,69.0,,66.76609358765752,0.30754509822322046,
Kyrgyzstan,2016,1,70.0,,,,70.0,67.76609358765752,0.30754509822322046,70.0
Latvia,2016,11,63.90909090909091,1.296530653527787,66.0,65.0,62.0,61.67518449674843,0.30754509822322046,66.0
Lebanon,2016,5,63.0,1.51657508881031,,62.0,63.25,60.76609358765752,0.30754509822322046,58.0
Liberia,2016,4,64.0,1.0801234497346435,63.333333333333336,66.0,,61.76609358765752,0.30754509822322046,
Libya,2016,5,61.8,1.9078784028338913,62.0,63.0,58.0,59.56609358765752,0.30754509822322046,58.0
