scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-07-06 22:10:27 UTC,2025-03-19 12:00:00 UTC,"https://www.oddsportal.com/football/h2h/liberia-UZzaxY9t/tunisia-QqZVYk95/#EiEYqVu6",Liberia,Tunisia,World Championship 2026,0,1,"(0:1, 0:0)",Stade Olympique Hammadi Agrebi,Rads,Tunisia,"[{'1': '6.19', 'X': '2.98', '2': '1.78', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.00', '2': '1.85', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.75', 'X': '3.00', '2': '1.80', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '5.90', 'X': '3.05', '2': '1.82', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '4.80', 'X': '2.90', '2': '1.82', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '4.75', 'X': '3.20', '2': '1.83', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '5.43', 'X': '3.04', '2': '1.77', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '4.80', 'X': '3.00', '2': '1.95', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}]"
2026-07-06 22:10:46 UTC,2024-03-26 04:45:00 UTC,"https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/lebanon-jHmbM6XM/#SnExjSWK",Lebanon,Australia,World Championship 2026,0,5,"(0:1, 0:4)",GIO Stadium,Canberra,Australia,"[{'1': '11.40', 'X': '6.53', '2': '1.23', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '13.00', 'X': '5.50', '2': '1.17', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '11.00', 'X': '6.50', '2': '1.22', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '12.00', 'X': '6.00', '2': '1.20', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '15.00', 'X': '5.80', '2': '1.16', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-07-06 22:10:47 UTC,2024-03-21 05:10:00 UTC,"https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/lebanon-jHmbM6XM/#bD9Yj8HE",Australia,Lebanon,World Championship 2026,2,0,"(1:0, 1:0)",GIO Stadium,Canberra,Australia,"[{'1': '1.14', 'X': '7.48', '2': '22.00', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.10', 'X': '7.00', '2': '15.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.14', 'X': '7.50', '2': '21.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.11', 'X': '8.00', '2': '17.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.09', 'X': '7.30', '2': '21.00', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-07-06 22:10:47 UTC,2025-11-13 14:00:00 UTC,"https://www.oddsportal.com/football/h2h/cameroon-zk1uVG2D/d-r-congo-phn9mm8H/#8pGvAgYa",Cameroon,D.R. Congo,World Championship 2026,0,1,"(0:0, 0:1)",Al Medina Stadium,Rabat,Morocco,"[{'1': '2.21', 'X': '2.88', '2': '4.32', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.10', 'X': '2.75', '2': '3.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.15', 'X': '2.80', '2': '4.20', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.17', 'X': '2.85', '2': '3.90', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '2.14', 'X': '2.70', '2': '3.80', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '2.10', 'X': '2.90', '2': '4.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '2.06', 'X': '3.01', '2': '4.05', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '2.25', 'X': '2.90', '2': '3.95', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '2.12', 'X': '2.85', '2': '3.61', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '2.13', 'X': '2.90', '2': '4.00', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '2.15', 'X': '2.80', '2': '3.90', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '2.16', 'X': '2.80', '2': '3.85', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
2026-07-06 22:11:06 UTC,2025-10-12 15:00:00 UTC,"https://www.oddsportal.com/football/h2h/comoros-QLUC9wv3/ghana-nNBjHale/#djCWN5u8",Ghana,Comoros,World Championship 2026,1,0,"(0:0, 1:0)",Accra Sports Stadium,Accra,Ghana,"[{'1': '1.35', 'X': '4.84', '2': '11.80', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.33', 'X': '4.75', '2': '11.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.31', 'X': '4.50', '2': '9.80', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.30', 'X': '4.40', '2': '9.60', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.30', 'X': '4.75', '2': '11.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.28', 'X': '5.02', '2': '11.90', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.33', 'X': '4.70', '2': '12.00', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.26', 'X': '4.70', '2': '11.00', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.31', 'X': '4.50', '2': '9.80', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.32', 'X': '4.80', '2': '10.00', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.31', 'X': '4.60', '2': '9.80', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
2026-07-06 22:11:07 UTC,2025-03-20 17:00:00 UTC,"https://www.oddsportal.com/football/h2h/comoros-QLUC9wv3/mali-jVn5lThB/#AZTa4dNk",Comoros,Mali,World Championship 2026,0,3,"(0:1, 0:2)",Stade Mohamed V,Casablanca,Morocco,"[{'1': '6.22', 'X': '3.39', '2': '1.66', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '6.50', 'X': '3.40', '2': '1.62', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.50', 'X': '3.40', '2': '1.65', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '6.50', 'X': '3.45', '2': '1.65', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '6.00', 'X': '3.20', '2': '1.61', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '5.75', 'X': '3.40', '2': '1.65', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '6.08', 'X': '3.36', '2': '1.63', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '6.25', 'X': '3.45', '2': '1.65', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}]"
2026-07-06 22:11:08 UTC,2025-03-21 17:00:00 UTC,"https://www.oddsportal.com/football/h2h/ecuador-8tbm8Tri/venezuela-raj05RS9/#lOgtaAPm",Ecuador,Venezuela,World Championship 2026,2,1,"(1:0, 1:1)",Estadio Rodrigo Paz Delgado,Quito,Ecuador,"[{'1': '1.32', 'X': '4.83', '2': '11.70', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.29', 'X': '5.00', '2': '12.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.29', 'X': '4.75', '2': '12.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.33', 'X': '4.90', '2': '12.50', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.37', 'X': '4.50', '2': '9.40', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.30', 'X': '4.75', '2': '11.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.32', 'X': '4.97', '2': '12.44', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.32', 'X': '4.80', '2': '11.00', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}]"
2026-07-06 22:11:25 UTC,2025-10-14 15:00:00 UTC,"https://www.oddsportal.com/football/h2h/ivory-coast-G2FRjBgn/kenya-CIAJw1QK/#OSQx1TF4",Ivory Coast,Kenya,World Championship 2026,3,0,"(1:0, 2:0)",Stade Olympique Alassane Ouattara,Abidjan,Ivory Coast,"[{'1': '1.10', 'X': '10.30', '2': '41.00', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.09', 'X': '8.50', '2': '34.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.11', 'X': '6.80', '2': '25.00', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.11', 'X': '6.40', '2': '25.00', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.14', 'X': '7.00', '2': '21.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.08', 'X': '9.34', '2': '42.20', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.12', 'X': '8.50', '2': '22.00', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.05', 'X': '8.10', '2': '36.00', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.11', 'X': '6.80', '2': '25.00', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.15', 'X': '7.25', '2': '21.00', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.11', 'X': '7.00', '2': '27.00', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
2026-07-06 22:11:26 UTC,2025-03-24 12:00:00 UTC,"https://www.oddsportal.com/football/h2h/liberia-UZzaxY9t/sao-tome-and-principe-2wlDrsek/#rPg9Qtuo",Liberia,Sao Tome and Principe,World Championship 2026,2,1,"(2:1, 0:0)",Samuel Kanyon Doe Sports Complex,Monrovia,Liberia,"[{'1': '1.27', 'X': '5.03', '2': '13.60', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.25', 'X': '5.00', '2': '13.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.27', 'X': '5.00', '2': '13.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.25', 'X': '5.20', '2': '15.00', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.25', 'X': '5.25', '2': '12.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.24', 'X': '5.32', '2': '12.49', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.27', 'X': '5.30', '2': '13.00', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}]"
2026-07-06 22:11:27 UTC,2026-07-02 23:00:00 UTC,"https://www.oddsportal.com/football/h2h/algeria-nc87N1BR/switzerland-rHJ2vy1B/#rgxknWwh",Switzerland,Algeria,World Championship 2026,2,0,"(1:0, 1:0)",BC Place,"Vancouver, BC",Canada,"[{'1': '1.95', 'X': '3.18', '2': '4.91', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.10', '2': '3.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.10', '2': '4.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.97', 'X': '3.15', '2': '4.40', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.96', 'X': '3.19', '2': '4.40', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.20', '2': '4.20', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '2.02', 'X': '3.20', '2': '4.35', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.12', '2': '4.80', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.30', '2': '4.30', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.96', 'X': '3.19', '2': '4.40', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.97', 'X': '3.15', '2': '4.40', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.08', '2': '4.19', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.98', 'X': '3.20', '2': '4.33', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.98', 'X': '3.20', '2': '4.30', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
